视频时长,视频AV号,播放量,弹幕数,评论数,点赞数,投币数,分享数
30,656147115,1717929,997,2602,136817,2922,7838
30,656147115,1727884,1002,2611,137955,2933,7888
23,224727376,1044941,540,1109,45954,1266,2246
27,610052639,802302,291,685,53407,672,1139
15,803596583,12054293,1364,3936,347906,47803,58500
9,588597487,17523644,616,2964,184129,7483,7005
22,852522779,1943604,565,797,108546,1977,2360
16,225954134,791624,202,522,39663,355,526
80,996144646,320533,238,507,13450,3832,631
35,484619896,328732,122,262,21827,419,374
29,270850308,309338,32,376,20041,180,213
64,613371129,125848,80,258,11943,456,58
505,228518271,202970,696,360,10674,1463,243
9,867801849,728310,82,418,107013,1151,2080
25,396246163,1582486,531,729,169955,1938,2979
12,398586034,1664637,311,1152,246040,4075,4697
16,571250157,237005,16,216,8732,102,65
209,698659933,802188,1354,909,74761,9129,5676
11,401261388,633525,252,669,37529,1224,8362
636,528860001,2347984,1991,771,114512,6882,3707
86,401218248,678358,313,1317,29953,5470,652
34,571182531,674818,193,1880,73378,4961,503
39,826215688,1600605,606,1164,231453,7917,2296
19,354865453,1984039,145,348,105416,1519,469
193,996077571,862845,550,646,45234,2584,3809
623,486051504,3063798,6804,1891,309519,66855,7693
8,826069221,1478353,412,1731,157438,4022,5480
21,826309525,294421,111,486,29755,738,86
227,401150706,2232808,3586,3185,245341,26537,5437
30,271035751,580893,80,334,49077,177,1088
92,271294917,899361,322,3054,55903,5194,2796
212,228432581,789672,1168,1155,21590,3902,257
43,398513001,1721955,541,1318,131002,5514,6641
81,868021036,11358142,7393,7857,655819,130769,161924
13,996011529,1716080,283,1109,132860,738,11828
67,401179931,430231,418,1026,60582,3612,449
56,528534412,230292,73,142,6393,111,198
15,528707465,1552865,157,900,61998,737,378
92,271109691,784940,250,298,38577,9994,5649
179,443832178,2147170,3088,3044,155630,8652,4092
59,953872360,2222877,912,1636,154143,6378,8354
72,613589601,796432,267,572,144477,19462,4588
23,224727376,1045004,540,1110,45954,1266,2246
12,982818139,1276947,392,942,63854,2013,2355
22,852522779,1943617,565,797,108546,1977,2360
27,610052639,802345,291,685,53408,672,1139
77,810805224,3468440,809,2686,207579,2088,2645
151,394679910,7887770,5851,8565,315082,47175,30873
16,817353302,1974282,417,1155,183979,5186,2394
19,604487890,1995244,678,1706,255154,2251,5709
34,951805394,870518,808,1543,74963,2630,4056
14,388202367,1110848,614,1399,104033,1667,2147
11,949469466,1533684,499,876,53760,697,2518
10,224668087,3313864,317,744,114470,1060,800
37,949709221,2160440,512,1289,181886,9031,13707
51,309677811,745097,503,478,35559,1509,2495
25,648980377,2468634,549,813,85175,1422,448
10,991760579,1563854,337,579,12207,145,744
14,973752466,4765418,852,2816,180464,9930,9121
40,908133480,3416697,298,983,175356,1155,950
